A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	0.2       	5.08 MS 0.05             	0.00508                  	          	        	B3N     	3.50        
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	0.2       	5.08 MS 0.05             	0.00508                  	          	        	B-      	100.00      
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	0.2       	5.08 MS 0.05             	0.00508                  	          	        	BN      	63.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	0.2       	5.08 MS 0.05             	0.00508                  	          	        	B2N     	12.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	0.2       	5.08 MS 0.05             	0.00508                  	          	        	B4N     	0.40        
18 	B      	5  	13 	0.0000  	(4-)          	51.79               	0.2       	26 NS LT                 	2.6E-8                   	          	        	N       	?           
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	0.5       	2.92 MS 0.13             	0.00292                  	          	        	B2N     	16.00       
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	0.5       	2.92 MS 0.13             	0.00292                  	          	        	B3N     	< 9.10      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	0.5       	2.92 MS 0.13             	0.00292                  	          	        	B-      	100.00      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	0.5       	2.92 MS 0.13             	0.00292                  	          	        	BN      	71.80       
20 	B      	5  	15 	        	              	68.5                	0.8       	                         	                         	          	        	        	            
21 	B      	5  	16 	        	              	77.3                	0.9       	                         	                         	          	        	        	            
8  	C      	6  	2  	0.0000  	0+            	35.064              	0.018     	230 KEV 50               	1.981E-21                	          	        	P       	100.00      
8  	C      	6  	2  	0.0000  	0+            	35.064              	0.018     	230 KEV 50               	1.981E-21                	          	        	A       	            
9  	C      	6  	3  	0.0000  	(3/2-)        	28.911              	0.0021    	126.5 MS 0.9             	0.127                    	          	        	EC      	100.00      
9  	C      	6  	3  	0.0000  	(3/2-)        	28.911              	0.0021    	126.5 MS 0.9             	0.127                    	          	        	EP      	61.60       
9  	C      	6  	3  	0.0000  	(3/2-)        	28.911              	0.0021    	126.5 MS 0.9             	0.127                    	          	        	EA      	38.40       
10 	C      	6  	4  	0.0000  	0+            	15.69867            	7.0E-5    	19.308 S 0.004           	19.308                   	          	        	EC      	100.00      
11 	C      	6  	5  	0.0000  	3/2-          	10.6494             	6.0E-5    	20.364 M 0.014           	1221.84                  	          	        	EC      	100.00      
12 	C      	6  	6  	0.0000  	0+            	0.0                 	0.0       	STABLE                   	infinity                 	98.93%    	0.08    	        	            
13 	C      	6  	7  	0.0000  	1/2-          	3.12500879          	2.1E-7    	STABLE                   	infinity                 	1.07%     	0.08    	        	            
14 	C      	6  	8  	0.0000  	0+            	3.019893            	4.0E-6    	5700 Y 30                	1.799E11                 	          	        	B-      	100.00      
15 	C      	6  	9  	0.0000  	1/2+          	9.8731              	8.0E-4    	2.449 S 0.005            	2.449                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	0.004     	0.747 S 0.008            	0.747                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	0.004     	0.747 S 0.008            	0.747                    	          	        	BN      	99.20       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	0.017     	191 MS 6                 	0.191                    	          	        	BN      	28.40       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	0.017     	191 MS 6                 	0.191                    	          	        	B2N     	?           
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	0.017     	191 MS 6                 	0.191                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92               	0.03      	92 MS 2                  	0.092                    	          	        	B2N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	0.03      	92 MS 2                  	0.092                    	          	        	B3N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	0.03      	92 MS 2                  	0.092                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92               	0.03      	92 MS 2                  	0.092                    	          	        	BN      	22.00       
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	0.1       	46.2 MS 4                	0.0462                   	          	        	B3N     	?           
