A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
144	Cs     	55 	89 	0.0000  	1(-)          	-63.271             	0.02      	0.994 S 0.006            	0.994                    	          	        	BN      	3.03        
144	Cs     	55 	89 	0.0000  	1(-)          	-63.271             	0.02      	0.994 S 0.006            	0.994                    	          	        	B-      	100.00      
144	Cs     	55 	89 	0.0000  	(GE4)         	-63.271             	0.02      	1 S LT                   	1                        	          	        	B-      	            
145	Cs     	55 	90 	0.0000  	3/2+          	-60.054             	0.009     	0.587 S 0.005            	0.587                    	          	        	B-      	100.00      
145	Cs     	55 	90 	0.0000  	3/2+          	-60.054             	0.009     	0.587 S 0.005            	0.587                    	          	        	BN      	14.70       
146	Cs     	55 	91 	0.0000  	1-            	-55.31              	0.003     	0.3220 S 0.0013          	0.322                    	          	        	B-      	100.00      
146	Cs     	55 	91 	0.0000  	1-            	-55.31              	0.003     	0.3220 S 0.0013          	0.322                    	          	        	BN      	14.20       
147	Cs     	55 	92 	0.0000  	(3/2+)        	-51.92              	0.008     	0.230 S 0.001            	0.23                     	          	        	B-      	100.00      
147	Cs     	55 	92 	0.0000  	(3/2+)        	-51.92              	0.008     	0.230 S 0.001            	0.23                     	          	        	BN      	28.50       
148	Cs     	55 	93 	0.0000  	              	-46.911             	0.013     	146 MS 6                 	0.146                    	          	        	BN      	25.10       
148	Cs     	55 	93 	0.0000  	              	-46.911             	0.013     	146 MS 6                 	0.146                    	          	        	B-      	100.00      
149	Cs     	55 	94 	0.0000  	              	-43.2               	0.4       	50 MS GT                 	0.05                     	          	        	B-      	100.00      
149	Cs     	55 	94 	0.0000  	              	-43.2               	0.4       	50 MS GT                 	0.05                     	          	        	BN      	            
150	Cs     	55 	95 	0.0000  	              	-38.2               	0.4       	50 MS GT                 	0.05                     	          	        	BN      	?           
150	Cs     	55 	95 	0.0000  	              	-38.2               	0.4       	50 MS GT                 	0.05                     	          	        	B-      	100.00      
151	Cs     	55 	96 	0.0000  	              	-34.2               	0.5       	50 MS GT                 	0.05                     	          	        	B-      	100.00      
151	Cs     	55 	96 	0.0000  	              	-34.2               	0.5       	50 MS GT                 	0.05                     	          	        	BN      	            
112	Ba     	56 	56 	        	0+            	0.0                 	0.0       	                         	                         	          	        	        	            
113	Ba     	56 	57 	        	              	-39.8               	0.3       	                         	                         	          	        	        	            
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	0.1       	0.43 S +0.3-0.15         	0.43                     	          	        	EC      	99.10       
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	0.1       	0.43 S +0.3-0.15         	0.43                     	          	        	EP      	20.00       
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	0.1       	0.43 S +0.3-0.15         	0.43                     	          	        	A       	0.90        
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	0.1       	0.43 S +0.3-0.15         	0.43                     	          	        	12C     	< 0.0034    
115	Ba     	56 	59 	0.0000  	(5/2+)        	-49.02              	0.2       	0.45 S 0.05              	0.45                     	          	        	EC      	100.00      
115	Ba     	56 	59 	0.0000  	(5/2+)        	-49.02              	0.2       	0.45 S 0.05              	0.45                     	          	        	EP      	> 15.00     
116	Ba     	56 	60 	0.0000  	0+            	-54.58              	0.2       	1.3 S 0.2                	1.3                      	          	        	EC      	100.00      
116	Ba     	56 	60 	0.0000  	0+            	-54.58              	0.2       	1.3 S 0.2                	1.3                      	          	        	EP      	3.00        
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	0.3       	1.75 S 0.07              	1.75                     	          	        	EA      	> 0.00      
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	0.3       	1.75 S 0.07              	1.75                     	          	        	EP      	> 0.00      
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	0.3       	1.75 S 0.07              	1.75                     	          	        	EC      	100.00      
118	Ba     	56 	62 	0.0000  	0+            	-62.35              	0.2       	5.5 S 0.2                	5.5                      	          	        	EC      	100.00      
118	Ba     	56 	62 	0.0000  	0+            	-62.35              	0.2       	5.5 S 0.2                	5.5                      	          	        	EP      	            
119	Ba     	56 	63 	0.0000  	(5/2+)        	-64.59              	0.2       	5.4 S 0.3                	5.4                      	          	        	EP      	< 25.00     
119	Ba     	56 	63 	0.0000  	(5/2+)        	-64.59              	0.2       	5.4 S 0.3                	5.4                      	          	        	EC      	100.00      
120	Ba     	56 	64 	0.0000  	0+            	-68.9               	0.3       	24 S 2                   	24                       	          	        	EC      	100.00      
121	Ba     	56 	65 	0.0000  	5/2(+)        	-70.74              	0.14      	29.7 S 1.5               	29.7                     	          	        	EC      	100.00      
122	Ba     	56 	66 	0.0000  	0+            	-74.61              	0.03      	1.95 M 0.15              	117                      	          	        	EC      	100.00      
123	Ba     	56 	67 	0.0000  	5/2(+)        	-75.655             	0.012     	2.7 M 0.4                	162                      	          	        	EC      	100.00      
124	Ba     	56 	68 	0.0000  	0+            	-79.09              	0.012     	11.0 M 0.5               	660                      	          	        	EC      	100.00      
125	Ba     	56 	69 	0.0000  	1/2(+)        	-79.669             	0.011     	3.3 M 0.3                	198                      	          	        	EC      	100.00      
126	Ba     	56 	70 	0.0000  	0+            	-82.67              	0.012     	100 M 2                  	6000                     	          	        	EC      	100.00      
127	Ba     	56 	71 	0.0000  	1/2+          	-82.818             	0.011     	12.7 M 0.4               	762                      	          	        	EC      	100.00      
127	Ba     	56 	71 	0.0803  	7/2-          	-82.738             	0.011     	1.9 S 0.2                	1.9                      	          	        	IT      	100.00      
128	Ba     	56 	72 	0.0000  	0+            	-85.378             	0.005     	2.43 D 0.05              	209952                   	          	        	EC      	100.00      
129	Ba     	56 	73 	0.0000  	1/2+          	-85.063             	0.011     	2.23 H 0.11              	8028                     	          	        	EC      	100.00      
129	Ba     	56 	73 	0.0084  	7/2+          	-85.055             	0.011     	2.135 H 0.01             	7685.1                   	          	        	IT      	?           
129	Ba     	56 	73 	0.0084  	7/2+          	-85.055             	0.011     	2.135 H 0.01             	7685.1                   	          	        	EC      	<= 100.00   
130	Ba     	56 	74 	0.0000  	0+            	-87.262             	0.003     	STABLE                   	infinity                 	0.106%    	0.001   	2EC     	            
130	Ba     	56 	74 	2.4751  	8-            	-84.786             	0.003     	9.4 MS 0.4               	0.0094                   	          	        	IT      	100.00      
131	Ba     	56 	75 	0.0000  	1/2+          	-86.684             	0.003     	11.50 D 0.06             	993600                   	          	        	EC      	100.00      
131	Ba     	56 	75 	0.1880  	9/2-          	-86.496             	0.003     	14.6 M 0.2               	876                      	          	        	IT      	100.00      
132	Ba     	56 	76 	0.0000  	0+            	-88.435             	0.0011    	3.0E+21 Y GT             	9.467E28                 	0.101%    	0.001   	2EC     	            
133	Ba     	56 	77 	0.0000  	1/2+          	-87.5536            	0.001     	10.551 Y 0.011           	3.33E8                   	          	        	EC      	100.00      
133	Ba     	56 	77 	0.2883  	11/2-         	-87.2653            	0.001     	38.93 H 0.1              	140148                   	          	        	IT      	99.99       
133	Ba     	56 	77 	0.2883  	11/2-         	-87.2653            	0.001     	38.93 H 0.1              	140148                   	          	        	EC      	0.01        
134	Ba     	56 	78 	0.0000  	0+            	-88.9499            	3.0E-4    	STABLE                   	infinity                 	2.417%    	0.018   	        	            
135	Ba     	56 	79 	0.0000  	3/2+          	-87.8505            	3.0E-4    	STABLE                   	infinity                 	6.592%    	0.012   	        	            
135	Ba     	56 	79 	0.2682  	11/2-         	-87.5823            	3.0E-4    	28.7 H 0.2               	103320                   	          	        	IT      	100.00      
136	Ba     	56 	80 	0.0000  	0+            	-88.8869            	3.0E-4    	STABLE                   	infinity                 	7.854%    	0.024   	        	            
136	Ba     	56 	80 	2.0305  	7-            	-86.8564            	3.0E-4    	0.3084 S 0.0019          	0.308                    	          	        	IT      	100.00      
137	Ba     	56 	81 	0.0000  	3/2+          	-87.7212            	3.0E-4    	STABLE                   	infinity                 	11.232%   	0.024   	        	            
137	Ba     	56 	81 	0.6617  	11/2-         	-87.0595            	3.0E-4    	2.552 M 0.001            	153.12                   	          	        	IT      	100.00      
138	Ba     	56 	82 	0.0000  	0+            	-88.2616            	3.0E-4    	STABLE                   	infinity                 	71.698%   	0.042   	        	            
139	Ba     	56 	83 	0.0000  	7/2-          	-84.9137            	3.0E-4    	83.06 M 0.28             	4983.6                   	          	        	B-      	100.00      
140	Ba     	56 	84 	0.0000  	0+            	-83.269             	0.008     	12.7527 D 0.0023         	1101833.28               	          	        	B-      	100.00      
141	Ba     	56 	85 	0.0000  	3/2-          	-79.733             	0.005     	18.27 M 0.07             	1096.2                   	          	        	B-      	100.00      
142	Ba     	56 	86 	0.0000  	0+            	-77.842             	0.006     	10.6 M 0.2               	636                      	          	        	B-      	100.00      
143	Ba     	56 	87 	0.0000  	5/2-          	-73.937             	0.007     	14.5 S 0.3               	14.5                     	          	        	B-      	100.00      
144	Ba     	56 	88 	0.0000  	0+            	-71.767             	0.007     	11.5 S 0.2               	11.5                     	          	        	B-      	100.00      
145	Ba     	56 	89 	0.0000  	5/2-          	-67.516             	0.008     	4.31 S 0.16              	4.31                     	          	        	B-      	100.00      
146	Ba     	56 	90 	0.0000  	0+            	-64.947             	0.021     	2.22 S 0.07              	2.22                     	          	        	B-      	100.00      
147	Ba     	56 	91 	0.0000  	(3/2-)        	-60.264             	0.02      	0.894 S 0.01             	0.894                    	          	        	B-      	100.00      
147	Ba     	56 	91 	0.0000  	(3/2-)        	-60.264             	0.02      	0.894 S 0.01             	0.894                    	          	        	BN      	0.06        
148	Ba     	56 	92 	0.0000  	0+            	-57.59              	0.06      	0.612 S 0.017            	0.612                    	          	        	BN      	0.40        
148	Ba     	56 	92 	0.0000  	0+            	-57.59              	0.06      	0.612 S 0.017            	0.612                    	          	        	B-      	100.00      
149	Ba     	56 	93 	0.0000  	              	-53.1               	0.4       	0.344 S 0.007            	0.344                    	          	        	B-      	100.00      
149	Ba     	56 	93 	0.0000  	              	-53.1               	0.4       	0.344 S 0.007            	0.344                    	          	        	BN      	0.43        
150	Ba     	56 	94 	0.0000  	0+            	-49.9               	0.3       	0.3 S                    	0.3                      	          	        	BN      	?           
150	Ba     	56 	94 	0.0000  	0+            	-49.9               	0.3       	0.3 S                    	0.3                      	          	        	B-      	100.00      
151	Ba     	56 	95 	0.0000  	              	-44.9               	0.4       	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
151	Ba     	56 	95 	0.0000  	              	-44.9               	0.4       	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
152	Ba     	56 	96 	0.0000  	0+            	-41.7               	0.4       	406 NS GT                	4.06E-7                  	          	        	B-      	100.00      
152	Ba     	56 	96 	0.0000  	0+            	-41.7               	0.4       	406 NS GT                	4.06E-7                  	          	        	BN      	?           
153	Ba     	56 	97 	0.0000  	              	-36.5               	0.4       	                         	                         	          	        	B-      	100.00      
117	La     	57 	60 	0.0000  	(3/2+,3/2-)   	-46.47              	0.2       	23.5 MS 2.6              	0.0235                   	          	        	P       	93.90       
117	La     	57 	60 	0.0000  	(3/2+,3/2-)   	-46.47              	0.2       	23.5 MS 2.6              	0.0235                   	          	        	EC      	6.10        
117	La     	57 	60 	0.1510  	(9/2+)        	-46.32              	0.2       	10 MS 5                  	0.01                     	          	        	EC      	2.60        
117	La     	57 	60 	0.1510  	(9/2+)        	-46.32              	0.2       	10 MS 5                  	0.01                     	          	        	P       	97.40       
118	La     	57 	61 	0.0000  	              	-49.6               	0.3       	                         	                         	          	        	EC      	?           
119	La     	57 	62 	0.0000  	              	-54.8               	0.3       	                         	                         	          	        	EC      	?           
120	La     	57 	63 	0.0000  	              	-57.6               	0.3       	2.8 S 0.2                	2.8                      	          	        	EC      	100.00      
120	La     	57 	63 	0.0000  	              	-57.6               	0.3       	2.8 S 0.2                	2.8                      	          	        	EP      	> 0.00      
121	La     	57 	64 	0.0000  	              	-62.2               	0.3       	5.3 S 0.2                	5.3                      	          	        	EC      	100.00      
122	La     	57 	65 	0.0000  	              	-64.5               	0.3       	8.6 S 0.5                	8.6                      	          	        	EC      	100.00      
122	La     	57 	65 	0.0000  	              	-64.5               	0.3       	8.6 S 0.5                	8.6                      	          	        	EP      	            
123	La     	57 	66 	0.0000  	              	-68.65              	0.2       	17 S 3                   	17                       	          	        	EC      	100.00      
124	La     	57 	67 	0.0000  	(8-)          	-70.26              	0.06      	29.21 S 0.17             	29.21                    	          	        	EC      	100.00      
124	La     	57 	67 	0.0000  	              	-70.26              	0.06      	21 S 4                   	21                       	          	        	EC      	100.00      
125	La     	57 	68 	0.0000  	(3/2+)        	-73.76              	0.03      	64.8 S 1.2               	64.8                     	          	        	EC      	100.00      
125	La     	57 	68 	0.1070  	              	-73.65              	0.03      	0.39 S 0.04              	0.39                     	          	        	        	            
126	La     	57 	69 	0.0000  	(5+)          	-74.97              	0.09      	54 S 2                   	54                       	          	        	EC      	> 0.00      
126	La     	57 	69 	0.0000  	(0-,1,2-)     	-74.97              	0.09      	50 S LT                  	50                       	          	        	EC      	            
126	La     	57 	69 	0.0000  	(0-,1,2-)     	-74.97              	0.09      	50 S LT                  	50                       	          	        	IT      	            
127	La     	57 	70 	0.0000  	(11/2-)       	-77.9               	0.03      	5.1 M 0.1                	306                      	          	        	EC      	100.00      
127	La     	57 	70 	0.0148  	(3/2+)        	-77.88              	0.03      	3.7 M 0.4                	222                      	          	        	EC      	100.00      
127	La     	57 	70 	0.0148  	(3/2+)        	-77.88              	0.03      	3.7 M 0.4                	222                      	          	        	IT      	            
128	La     	57 	71 	0.0000  	(5+)          	-78.63              	0.05      	5.18 M 0.14              	310.8                    	          	        	EC      	100.00      
128	La     	57 	71 	0.0000  	(1+,2-)       	-78.63              	0.05      	1.4 M LT                 	84                       	          	        	EC      	100.00      
129	La     	57 	72 	0.0000  	(3/2+)        	-81.325             	0.021     	11.6 M 0.2               	696                      	          	        	EC      	100.00      
129	La     	57 	72 	0.1723  	(11/2-)       	-81.152             	0.021     	0.56 S 0.05              	0.56                     	          	        	IT      	100.00      
130	La     	57 	73 	0.0000  	3(+)          	-81.63              	0.03      	8.7 M 0.1                	522                      	          	        	EC      	100.00      
131	La     	57 	74 	0.0000  	3/2+          	-83.77              	0.03      	59 M 2                   	3540                     	          	        	EC      	100.00      
132	La     	57 	75 	0.0000  	2-            	-83.72              	0.04      	4.8 H 0.2                	17280                    	          	        	EC      	100.00      
132	La     	57 	75 	0.1882  	6-            	-83.54              	0.04      	24.3 M 0.5               	1458                     	          	        	IT      	76.00       
132	La     	57 	75 	0.1882  	6-            	-83.54              	0.04      	24.3 M 0.5               	1458                     	          	        	EC      	24.00       
133	La     	57 	76 	0.0000  	5/2+          	-85.49              	0.03      	3.912 H 0.008            	14083.2                  	          	        	EC      	100.00      
134	La     	57 	77 	0.0000  	1+            	-85.219             	0.02      	6.45 M 0.16              	387                      	          	        	EC      	100.00      
135	La     	57 	78 	0.0000  	5/2+          	-86.643             	0.009     	19.5 H 0.2               	70200                    	          	        	EC      	100.00      
136	La     	57 	79 	0.0000  	1+            	-86.04              	0.05      	9.87 M 0.03              	592.2                    	          	        	EC      	100.00      
136	La     	57 	79 	0.2300  	(8+)          	-85.81              	0.05      	114 MS 3                 	0.114                    	          	        	IT      	100.00      
137	La     	57 	80 	0.0000  	7/2+          	-87.1407            	0.0017    	6E+4 Y 2E+4              	1.893E12                 	          	        	EC      	100.00      
138	La     	57 	81 	0.0000  	5+            	-86.519             	0.003     	1.02E+11 Y 0.01E+11      	3.219E18                 	0.08881%  	7.1E-4  	EC      	65.60       
138	La     	57 	81 	0.0000  	5+            	-86.519             	0.003     	1.02E+11 Y 0.01E+11      	3.219E18                 	0.08881%  	7.1E-4  	B-      	34.40       
139	La     	57 	82 	0.0000  	7/2+          	-87.2262            	0.002     	STABLE                   	infinity                 	99.9119%  	0.0071  	        	            
140	La     	57 	83 	0.0000  	3-            	-84.3159            	0.002     	1.67855 D 1.2E-4         	145026.72                	          	        	B-      	100.00      
141	La     	57 	84 	0.0000  	(7/2+)        	-82.932             	0.004     	3.92 H 0.03              	14112                    	          	        	B-      	100.00      
142	La     	57 	85 	0.0000  	2-            	-80.024             	0.006     	91.1 M 0.5               	5466                     	          	        	B-      	100.00      
143	La     	57 	86 	0.0000  	(7/2)+        	-78.172             	0.007     	14.2 M 0.1               	852                      	          	        	B-      	100.00      
144	La     	57 	87 	0.0000  	(3-)          	-74.85              	0.013     	40.8 S 0.4               	40.8                     	          	        	B-      	100.00      
145	La     	57 	88 	0.0000  	(5/2+)        	-72.835             	0.012     	24.8 S 2                 	24.8                     	          	        	B-      	100.00      
146	La     	57 	89 	0.0000  	2-            	-69.05              	0.03      	6.27 S 0.1               	6.27                     	          	        	B-      	100.00      
146	La     	57 	89 	0.0000  	(6-)          	-69.05              	0.03      	10.0 S 0.1               	10                       	          	        	B-      	100.00      
147	La     	57 	90 	0.0000  	(3/2+)        	-66.678             	0.011     	4.06 S 0.04              	4.06                     	          	        	BN      	0.04        
147	La     	57 	90 	0.0000  	(3/2+)        	-66.678             	0.011     	4.06 S 0.04              	4.06                     	          	        	B-      	100.00      
148	La     	57 	91 	0.0000  	(2-)          	-62.709             	0.019     	1.26 S 0.08              	1.26                     	          	        	B-      	100.00      
148	La     	57 	91 	0.0000  	(2-)          	-62.709             	0.019     	1.26 S 0.08              	1.26                     	          	        	BN      	0.15        
149	La     	57 	92 	0.0000  	(3/2-)        	-60.22              	0.2       	1.05 S 0.03              	1.05                     	          	        	B-      	100.00      
149	La     	57 	92 	0.0000  	(3/2-)        	-60.22              	0.2       	1.05 S 0.03              	1.05                     	          	        	BN      	1.43        
150	La     	57 	93 	0.0000  	(3+)          	-56.1               	0.4       	0.59 S 0.11              	0.59                     	          	        	B-      	100.00      
150	La     	57 	93 	0.0000  	(3+)          	-56.1               	0.4       	0.59 S 0.11              	0.59                     	          	        	BN      	2.70        
151	La     	57 	94 	0.0000  	              	-53.3               	0.4       	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
151	La     	57 	94 	0.0000  	              	-53.3               	0.4       	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
152	La     	57 	95 	0.0000  	              	-49.3               	0.3       	150 NS GT                	1.5E-7                   	          	        	B-      	100.00      
153	La     	57 	96 	0.0000  	              	-46.1               	0.3       	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
154	La     	57 	97 	0.0000  	              	-41.5               	0.3       	                         	                         	          	        	B-      	100.00      
155	La     	57 	98 	        	              	-37.9               	0.4       	                         	                         	          	        	B-      	100.00      
119	Ce     	58 	61 	        	              	-43.9               	0.5       	                         	                         	          	        	EC      	?           
120	Ce     	58 	62 	        	0+            	-49.6               	0.5       	                         	                         	          	        	EC      	?           
121	Ce     	58 	63 	0.0000  	(5/2)         	-52.7               	0.4       	1.1 S 0.1                	1.1                      	          	        	EC      	100.00      
121	Ce     	58 	63 	0.0000  	(5/2)         	-52.7               	0.4       	1.1 S 0.1                	1.1                      	          	        	EP      	~ 1.00      
122	Ce     	58 	64 	0.0000  	0+            	-57.9               	0.4       	                         	                         	          	        	EP      	            
122	Ce     	58 	64 	0.0000  	0+            	-57.9               	0.4       	                         	                         	          	        	EC      	            
123	Ce     	58 	65 	0.0000  	(5/2)         	-60.3               	0.3       	3.8 S 0.2                	3.8                      	          	        	EC      	100.00      
123	Ce     	58 	65 	0.0000  	(5/2)         	-60.3               	0.3       	3.8 S 0.2                	3.8                      	          	        	EP      	> 0.00      
124	Ce     	58 	66 	0.0000  	0+            	-64.9               	0.3       	6 S 2                    	6                        	          	        	EC      	100.00      
125	Ce     	58 	67 	0.0000  	(7/2-)        	-66.66              	0.2       	9.7 S 0.3                	9.7                      	          	        	EP      	            
125	Ce     	58 	67 	0.0000  	(7/2-)        	-66.66              	0.2       	9.7 S 0.3                	9.7                      	          	        	EC      	100.00      
126	Ce     	58 	68 	0.0000  	0+            	-70.82              	0.03      	51.0 S 0.3               	51                       	          	        	EC      	100.00      
127	Ce     	58 	69 	0.0000  	(1/2+)        	-71.98              	0.03      	34 S 2                   	34                       	          	        	EC      	100.00      
127	Ce     	58 	69 	0.0073  	(5/2+)        	-71.97              	0.03      	28.6 S 0.7               	28.6                     	          	        	EC      	100.00      
128	Ce     	58 	70 	0.0000  	0+            	-75.53              	0.03      	3.93 M 0.02              	235.8                    	          	        	EC      	100.00      
129	Ce     	58 	71 	0.0000  	5/2+          	-76.29              	0.03      	3.5 M 0.3                	210                      	          	        	EC      	100.00      
130	Ce     	58 	72 	0.0000  	0+            	-79.42              	0.03      	22.9 M 0.5               	1374                     	          	        	EC      	100.00      
131	Ce     	58 	73 	0.0000  	7/2+          	-79.71              	0.03      	10.3 M 0.3               	618                      	          	        	EC      	100.00      
131	Ce     	58 	73 	0.0631  	(1/2+)        	-79.65              	0.03      	5.4 M 0.4                	324                      	          	        	IT      	            
131	Ce     	58 	73 	0.0631  	(1/2+)        	-79.65              	0.03      	5.4 M 0.4                	324                      	          	        	EC      	100.00      
132	Ce     	58 	74 	0.0000  	0+            	-82.471             	0.02      	3.51 H 0.11              	12636                    	          	        	EC      	100.00      
132	Ce     	58 	74 	2.3411  	(8-)          	-80.13              	0.02      	9.4 MS 0.3               	0.0094                   	          	        	IT      	100.00      
133	Ce     	58 	75 	0.0000  	1/2+          	-82.418             	0.016     	97 M 4                   	5820                     	          	        	EC      	100.00      
133	Ce     	58 	75 	0.0372  	9/2-          	-82.381             	0.016     	5.1 H 0.3                	18360                    	          	        	IT      	            
133	Ce     	58 	75 	0.0372  	9/2-          	-82.381             	0.016     	5.1 H 0.3                	18360                    	          	        	EC      	            
134	Ce     	58 	76 	0.0000  	0+            	-84.833             	0.02      	3.16 D 0.04              	273024                   	          	        	EC      	100.00      
135	Ce     	58 	77 	0.0000  	1/2(+)        	-84.616             	0.01      	17.7 H 0.3               	63720                    	          	        	EC      	100.00      
135	Ce     	58 	77 	0.4458  	(11/2-)       	-84.17              	0.01      	20 S 1                   	20                       	          	        	IT      	100.00      
136	Ce     	58 	78 	0.0000  	0+            	-86.5084            	4.0E-4    	0.7E+14 Y GT             	2.209E21                 	0.185%    	0.002   	2EC     	            
137	Ce     	58 	79 	0.0000  	3/2+          	-85.9186            	4.0E-4    	9.0 H 0.3                	32400                    	          	        	EC      	100.00      
137	Ce     	58 	79 	0.2543  	11/2-         	-85.6643            	4.0E-4    	34.4 H 0.3               	123840                   	          	        	IT      	99.21       
137	Ce     	58 	79 	0.2543  	11/2-         	-85.6643            	4.0E-4    	34.4 H 0.3               	123840                   	          	        	EC      	0.79        
138	Ce     	58 	80 	0.0000  	0+            	-87.571             	0.005     	0.9E+14 Y GE             	2.84E21                  	0.251%    	0.002   	2EC     	100.00      
138	Ce     	58 	80 	2.1292  	7-            	-85.442             	0.005     	8.65 MS 0.2              	0.00865                  	          	        	IT      	100.00      
139	Ce     	58 	81 	0.0000  	3/2+          	-86.948             	0.007     	137.641 D 0.02           	1.189E7                  	          	        	EC      	100.00      
139	Ce     	58 	81 	0.7542  	11/2-         	-86.194             	0.007     	54.8 S 1                 	54.8                     	          	        	IT      	100.00      
140	Ce     	58 	82 	0.0000  	0+            	-88.0761            	0.0016    	STABLE                   	infinity                 	88.450%   	0.051   	        	            
141	Ce     	58 	83 	0.0000  	7/2-          	-85.4329            	0.0016    	32.511 D 0.013           	2808950.4                	          	        	B-      	100.00      
142	Ce     	58 	84 	0.0000  	0+            	-84.533             	0.003     	5E+16 Y GT               	1.578E24                 	11.114%   	0.051   	2B-     	            
143	Ce     	58 	85 	0.0000  	3/2-          	-81.607             	0.003     	33.039 H 0.006           	118940.4                 	          	        	B-      	100.00      
144	Ce     	58 	86 	0.0000  	0+            	-80.432             	0.003     	284.91 D 0.05            	2.462E7                  	          	        	B-      	100.00      
145	Ce     	58 	87 	0.0000  	(5/2-)        	-77.07              	0.03      	3.01 M 0.06              	180.6                    	          	        	B-      	100.00      
146	Ce     	58 	88 	0.0000  	0+            	-75.635             	0.016     	13.49 M 0.16             	809.4                    	          	        	B-      	100.00      
147	Ce     	58 	89 	0.0000  	(5/2-)        	-72.014             	0.009     	56.4 S 1                 	56.4                     	          	        	B-      	100.00      
148	Ce     	58 	90 	0.0000  	0+            	-70.398             	0.011     	56.8 S 0.3               	56.8                     	          	        	B-      	100.00      
149	Ce     	58 	91 	0.0000  	(3/2-)        	-66.67              	0.01      	5.3 S 0.2                	5.3                      	          	        	B-      	100.00      
150	Ce     	58 	92 	0.0000  	0+            	-64.847             	0.012     	4.0 S 0.6                	4                        	          	        	B-      	100.00      
151	Ce     	58 	93 	0.0000  	(5/2+)        	-61.225             	0.018     	1.76 S 0.06              	1.76                     	          	        	B-      	100.00      
151	Ce     	58 	93 	0.0000  	              	-61.225             	0.018     	1.02 S 0.06              	1.02                     	          	        	B-      	100.00      
152	Ce     	58 	94 	0.0000  	0+            	-58.98              	0.2       	1.4 S 0.2                	1.4                      	          	        	B-      	100.00      
153	Ce     	58 	95 	0.0000  	              	-54.91              	0.2       	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
154	Ce     	58 	96 	0.0000  	0+            	-52.22              	0.2       	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
155	Ce     	58 	97 	0.0000  	              	-47.8               	0.3       	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
156	Ce     	58 	98 	        	0+            	-44.8               	0.3       	                         	                         	          	        	B-      	100.00      
157	Ce     	58 	99 	        	              	-39.9               	0.4       	                         	                         	          	        	B-      	100.00      
121	Pr     	59 	62 	0.0000  	(3/2)         	-41.4               	0.5       	10 MS +6-3               	0.01                     	          	        	P       	100.00      
122	Pr     	59 	63 	0.0000  	              	-44.8               	0.5       	0.5 S AP                 	0.5                      	          	        	EC      	?           
123	Pr     	59 	64 	0.0000  	              	-50.2               	0.4       	0.8 S AP                 	0.8                      	          	        	EC      	            
124	Pr     	59 	65 	0.0000  	              	-53.2               	0.4       	1.2 S 0.2                	1.2                      	          	        	EC      	100.00      
124	Pr     	59 	65 	0.0000  	              	-53.2               	0.4       	1.2 S 0.2                	1.2                      	          	        	EP      	> 0.00      
125	Pr     	59 	66 	0.0000  	              	-57.9               	0.3       	3.3 S 0.7                	3.3                      	          	        	EC      	100.00      
125	Pr     	59 	66 	0.0000  	              	-57.9               	0.3       	3.3 S 0.7                	3.3                      	          	        	EP      	            
126	Pr     	59 	67 	0.0000  	>3            	-60.32              	0.2       	3.14 S 0.22              	3.14                     	          	        	EC      	100.00      
126	Pr     	59 	67 	0.0000  	>3            	-60.32              	0.2       	3.14 S 0.22              	3.14                     	          	        	EP      	            
127	Pr     	59 	68 	0.0000  	              	-64.54              	0.2       	4.2 S 0.3                	4.2                      	          	        	EC      	100.00      
128	Pr     	59 	69 	0.0000  	4,5,6         	-66.33              	0.03      	2.85 S 0.09              	2.85                     	          	        	EC      	100.00      
129	Pr     	59 	70 	0.0000  	(3/2+)        	-69.77              	0.03      	30 S 4                   	30                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(7,8)         	-71.18              	0.06      	40 S 4                   	40                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(4+,5+)       	-71.18              	0.06      	40 S 4                   	40                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(2+)          	-71.18              	0.06      	40 S 4                   	40                       	          	        	EC      	100.00      
131	Pr     	59 	72 	0.0000  	(3/2+)        	-74.3               	0.05      	1.51 M 0.02              	90.6                     	          	        	EC      	100.00      
131	Pr     	59 	72 	0.1524  	(11/2-)       	-74.15              	0.05      	5.73 S 0.2               	5.73                     	          	        	IT      	96.40       
